A137723: exhaustive scan to 100000000000 plus structural search (even endpoint <= 18446744073709551616) for even n
   n  a(n)                                      L = a(n)-1                      R = a(n)+n                      note
   1  10                                        9 (3^2)                         11 (prime)                      ok (OEIS)
   2  33                                        32 (2^5)                        35 (5*7)                        ok (OEIS)
   3  20                                        19 (prime)                      23 (prime)                      ok (OEIS)
   4  55                                        54 (2*3^3)                      59 (prime)                      ok (OEIS)
   5  84                                        83 (prime)                      89 (prime)                      ok (OEIS)
   6  114                                       113 (prime)                     120 (2^3*3*5)                   ok (OEIS)
   7  390                                       389 (prime)                     397 (prime)                     ok (OEIS)
   8  513                                       512 (2^9)                       521 (prime)                     ok (OEIS)
   9  182                                       181 (prime)                     191 (prime)                     ok (OEIS)
  10  200                                       199 (prime)                     210 (2*3*5*7)                   ok (OEIS)
  11  468                                       467 (prime)                     479 (prime)                     ok (OEIS)
  12  2941                                      2940 (2^2*3*5*7^2)              2953 (prime)                    ok (OEIS)
  13  774                                       773 (prime)                     787 (prime)                     ok (OEIS)
  14  65522                                     65521 (prime)                   65536 (2^16)                    ok (OEIS)
  15  1832                                      1831 (prime)                    1847 (prime)                    ok (OEIS)
  16  1261                                      1260 (2^2*3^2*5*7)              1277 (prime)                    ok (OEIS)
  17  1130                                      1129 (prime)                    1147 (31*37)                    ok (OEIS)
  18  1332                                      1331 (11^3)                     1350 (2*3^3*5^2)                ok (OEIS)
  19  1638                                      1637 (prime)                    1657 (prime)                    ok (OEIS)
  20  524289                                    524288 (2^19)                   524309 (prime)                  ok (OEIS)
  21  1952                                      1951 (prime)                    1973 (prime)                    ok (OEIS)
  22  4298                                      4297 (prime)                    4320 (2^5*3^3*5)                ok (OEIS)
  23  4524                                      4523 (prime)                    4547 (prime)                    ok (OEIS)
  24  69960                                     69959 (prime)                   69984 (2^5*3^7)                 ok (OEIS)
  25  5120                                      5119 (prime)                    5145 (3*5*7^3)                  ok (OEIS)
  26  16385                                     16384 (2^14)                    16411 (prime)                   ok (OEIS)
  27  2972                                      2971 (prime)                    2999 (prime)                    ok (OEIS)
  28  4832                                      4831 (prime)                    4860 (2^2*3^5*5)                ok (OEIS)
  29  5352                                      5351 (prime)                    5381 (prime)                    ok (OEIS)
  30  10801                                     10800 (2^4*3^3*5^2)             10831 (prime)                   ok (OEIS)
  31  5592                                      5591 (prime)                    5623 (prime)                    ok (OEIS)
  32  18014398509481952                         18014398509481951 (prime)       18014398509481984 (2^54)        NEW (structural search)
  33  8468                                      8467 (prime)                    8501 (prime)                    new
  34  1119745                                   1119744 (2^9*3^7)               1119779 (prime)                 new
  35  9552                                      9551 (prime)                    9587 (prime)                    new
  36  69264                                     69263 (prime)                   69300 (2^2*3^2*5^2*7*11)        new
  37  39462                                     39461 (prime)                   39499 (prime)                   new
  38  33554394                                  33554393 (prime)                33554432 (2^25)                 new
  39  20810                                     20809 (prime)                   20849 (prime)                   new
  40  74960                                     74959 (prime)                   75000 (2^3*3*5^5)               new
  41  38502                                     38501 (prime)                   38543 (prime)                   new
  42  107521                                    107520 (2^10*3*5*7)             107563 (prime)                  new
