# Terms of A137723 found by the structural search (a137723 search), not by the exhaustive scan.
# n a(n) form search-limit
32 18014398509481952 2^54-32 2^127
44 274877906900 2^38-44 2^127
50 2417851639229258349412302 2^81-50 2^127
62 23384026197294446691258957323460528314494920687554 2^164-62 2^1000
68 562949953421313 2^49+1 2^64
74 9671406556917033397649409 2^83+1 2^127
80 562949953421232 2^49-80 2^64
86 1099511627690 2^40-86 2^64
92 1152921504606846884 2^60-92 2^64
94 31701690482689 2^29*3^10+1 2^64
98 81129638414606681695789005144065 2^106+1 2^127
104 9903520314283042199192993793 2^93+1 2^127
110 9007199254740882 2^53-110 2^64
114 16698832846849 2^36*3^5+1 2^64
116 81129638414606681695789005143948 2^106-116 2^127
122 254629497041810760783555711051172270131433549208242031329517556169297662470417088272924550 2^297-122 2^1000
124 65810851921133444 2^21*3^22-124 2^64
128 2251799813685120 2^51-128 2^64
132 1107168749868 2^4*3^11*5^8-132 2^64
134 4611686018427387905 2^62+1 2^64
140 158456325028528675187087900532 2^97-140 2^127
142 367499999858 2^8*3*5^10*7^2-142 2^64
144 7204542494255957664 - 2^64
146 649037107316853453566312041152513 2^109+1 2^127
152 89202980794122492566142873090593446023921512 2^146-152 2^1000
154 383808888404050968577 2^24*3^28+1 2^1000
158 18014398509481985 2^54+1 2^64
160 48599999999840 - 2^64
164 10633823966279326983230456482242756609 2^123+1 2^127
170 38685626227668133590597633 2^85+1 2^127
172 210108937501 - 2^64
174 14409084988511915442 - 2^64
176 9619630419041620901435312524449124464130795720328478190417063819395928166869436184427311097384012607618805661520 2^372-176 2^1000
182 6427752177035961102167848369364650410088811975131171341205322 2^202-182 2^1000
184 6655833320221310792 - 2^64
188 13479973333575319897333507543509815336818572211270286240551805124609 2^223+1 2^1000
